Logo,Title,Location,Company,Description,ApplyLink,Job_type
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/dc0d1df2.jpeg=s64x64,Customer Service Benefits Representative (Remote Work) FULL TIME,"Carlsbad, CA",Morphius Corp,"What we do is coordinate benefits for labor unions, credit unions, and associations. Working with police departments, firefighters, teachers, postal workers and other labor unions as well. We have ...",https://www.ziprecruiter.com/jobs/genmark-diagnostics-f565d08a/customer-technical-support-specialist-l-f1d88959?lvk=nOmeXNe6Hq0W8vOwR916GQ.--LnJR0nppo,
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/1f59e910.jpeg=s64x64,Customer Service Representative,"Carlsbad, CA",Marquee Staffing - CB,"Golf Company Seeking to hire a Customer Service Representative Job Duties: * Providing strong phone coverage, assisting both accounts and Sales Reps by entering, changing, administering orders, and ...",https://www.ziprecruiter.com/jobs/oak-hills-logistics-inc-d212a681/cdl-driver-class-a-57cd5ff1?lvk=sGThPjSym_Q5djPaVDNiIA.--LnqQIFPcV,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service Representative,"Vista, CA",Watkins Wellness,"We are hiring a Customer Service Representative to join our Customer Care team! DISCOVER Are you passionate about providing world-class customer service? As Customer Service Representative, you will ...",https://99only.jobinfo.com/public/description.php?jid=22846001&refid=668,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Instacart Delivery Driver - Flexible Hours,"VISTA, CA",Instacart,"FULL-SERVICE SHOPPER Why shop and deliver with Instacart? Instacart is the North American leader in grocery delivery. We strive to help make grocery delivery effortless, affordable, and accessible to ...",https://click.appcast.io/track/56apstp?cs=5z9&jg=27gn&bid=viVMAPGFWwJQTmWThIkjXQ==&cid=3940e539-03ff-484d-95c8-acad36b0832e,Contractor
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Truck Driver - Recent Grads Welcome - Excellent Benefits,"Vista, CA",CRST Expedited - Recent Grads California,"Decide Your Destiny Do you have your Class A CDL? Are you looking for experience? CRST is hiring Recent Truck Driving School Graduates! When you drive for us, you get the freedom to decide your ...",https://www.ziprecruiter.com/ojob/d8c6ce5ce42d6eeaf938fe9b2477880a?lvk=HqeazGlKm7AbbIyOUxWG3Q.--LnnreCfBF,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Support Representative,"Solana Beach, CA",Kelly Services,"Seeking experienced Customer Service Representatives for a Temp to Hire opportunity within healthcare in Solana Beach, CA! Pay Rate: $20/hr. QUALIFICATIONS: * Proven excellence in Customer Service ...",https://www.ziprecruiter.com/ojob/89e95aec44bb9a79b3c01a8aa80e74b0?lvk=pKL255ic6xWJHIgcuI8gsA.--LnHiP3yks,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/dc0d1df2.jpeg=s64x64,Customer Service Representative (Work from Home),"Escondido, CA",Morphius Corp,"We are a rapidly growing company that has more clients than we can see. We understand that it is a good problem to have, but we need more qualified people that will help us keep up with our growth",https://www.ziprecruiter.com/jobs/classic-showcase-inc-7576d1d3/receptionist-administrative-support-64bf09e8?lvk=3kvQ12sILWsyfkxNbkbS8g.--LnmRx_aIk,
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,"1st Shift GMP Filling / Packaging Technician, Carlsbad, CA","Carlsbad, CA",Kelly Services,"1st Shift GMP Filling / Packaging Laboratory Technician, Carlsbad, CA Seeking experienced Filling/Packaging Lab Technicians to support our manufacturing operations. This role requires following lab ...",https://www.ziprecruiter.com/jobs/lincoln-military-housing-21a7e464/service-coordinator-30d3d799?lvk=pYXL8ZM9TKMbe50XhEnDXA.--LnKZ3nrDN,
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Local CDL A/B Delivery Truck Drivers - Home Daily - Full Time,"San Marcos, CA",Ferrellgas,"Now Hiring Local CDL A/B Delivery Drivers! Full-Time & Home Daily Benefits: * Local routes and territories - home every night * Medical, Dental, Vision, and Prescription Insurance Plans * 401(k) plan ...",https://www.ziprecruiter.com/jobs/san-marcos-unified-school-district-1ecab4eb/typist-clerk-iii-full-time-5c990241?lvk=ZEDjrl68a_YgivXHkklvHQ.--LnSai0U67,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Retail Solar Sales Representative,"Vista, CA",Sunrun,"Overview: Are you looking for a fast-paced role where you can combine your revenue-generating, go-getting mindset with the ability to help people save money? If so, we'd like you to join our Solar ...",https://click.thejobnetwork.com/Job/2628647357?etd=LAFFER2UEHPRBR3K44LUYSKE2UM6LL2N7Y6YFOCF4NYRDR5QOX2ZXFH7YHPUUTVU32DBQLNIOMN3GJI6CTSEULI2V6ZGCQ7E3NJU4DMBADNP6JBTUP24UTUMSSUVZ4GYJHG2NEBYFDQPCR3BZ32CMI2GJHEZDEFMB5SL6S35VVA3VFZQILEA====,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Call Center Customer Service,"Vista, CA",Ultimate,"Essential Duties and Responsibilities: include the following. Ability to learn the extensive product line and basic dental terminology to assist dentist, hygienists, and dental assistants with ...",https://www.ziprecruiter.com/jobs/viking-staffing-fb25eb82/retail-merchandising-c8b23ae9?lvk=bhLwJWWPHrhvm25CIl_kpA.--Lnsf_AqGs,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service Representative,"San Marcos, CA",EDCO WASTE AND RECYCLING,"Job Description Primary Responsibilities:  Answer a high volume of incoming phone calls consisting of inquiries, orders, service issues  Assist with the needs of customers  Input information ...",https://www.ziprecruiter.com/ojob/a665cb053e80bb8c85b9971c67885c81?lvk=n0axBGvB3qTy3xu_2UhKeQ.--LnAVrj6g-,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,"Macy's Seasonal Retail Beauty Sales, Part Time: Plaza Camino Real","Carlsbad, California",Macy's,"Overview: The Seasonal Cosmetics/Fragrances Associate is responsible for providing professional service to customers by selling and demonstrating cosmetics and fragrances, as well as contributing to ...",https://www.ziprecruiter.com/jobs/advanced-diabetes-supply-3a214fa2/customer-service-representative-weekends-off-80d17644?lvk=mYZYoG2lcJ36udRsJVJd8A.--LnNlchehV,Part-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,CDL-A HOUSEHOLD GOODS MOVER LEASE PURCHASE TRUCK DRIVER JOBS,"Vista, CA",United Van Lines,"Drive How You Want. Drive Where You Want. Whether it's regional or OTR Owner Operator truck driver job opportunities that you're on the hunt for, United has a number of immediate positions open to CD ...",https://www.ziprecruiter.com/jobs/best-version-media-0de0d7d1/sales-executive-local-publisher-1a9e2bc8?lvk=C_8cP84zcZoLmbJbxNirkA.--LngA61YI3,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Delivery Driver - Earn $15.00 - $16.25++/hr,"San Clemente, CA",Amazon Contracted Delivery Partners,"Delivery Driver for Amazon Delivery Service Partners Shifts: Morning, afternoon, weekday and/or weekend Location: DCX2 - 25725 Jeronimo Rd; Mission Viejo,CA,92691-2711 Compensation: Starting pay $15 ...",https://www.ziprecruiter.com/jobs/adecco-5f98f8ce/customer-service-99b5da9a?lvk=czrwrn3P1AFtQhMY1HgPJg.--LnSIcGOUR,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Client Service Coordinator - H,"San Marcos, CA",Aveanna,"Client Service Coordinator - H ApplyRefer a FriendBack Job Details Requisition #: 90792 Location: San Marcos, CA 92078 Category: Client Services Position Overview The Client Services Coordinator (CSC ...",https://www.ziprecruiter.com/ojob/64df6a1ab9fbf34c4ba42e8f51492845?lvk=fur7D3HjAdPtFsDT8PRiUA.--LmyRkKrpB,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Seasonal Stock Teammate,"Rancho Santa Fe, CA","Under Armour, Inc.",Under Armour Retail is seeking a brand passionate Sales Associate. The Sales Associate is responsible for individual sales performance. By maintaining a working knowledge of all Under Armour products ...,https://www.ziprecruiter.com/ojob/4822e317ece763e9f6a77856cccf20d3?lvk=JUI2Ew7iFuFNcFyec8Iw1g.--LnK_dw1mw,Full-Time
